                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 2.6007,                 1.9552,                  2.345,                0.00175,                0.06667,                0.00094,                  9e-05,                 4.5028,                 4.6434,                 4.2101,              0.0010065,              0.0010065,              0.0010065
                     97,                 2.4898,                 1.9253,                 2.2953,                0.00173,                0.06667,                0.00092,                0.00028,                 4.4922,                 4.6942,                 4.1881,              0.0010076,              0.0010076,              0.0010076
                     98,                 2.4621,                 1.9703,                 2.3331,                0.00175,                0.06667,                0.00093,                0.00028,                 4.4766,                 4.5255,                 4.1721,              0.0010085,              0.0010085,              0.0010085
                     99,                 2.3986,                 1.8687,                 2.2577,                0.00176,                0.06667,                0.00094,                0.00019,                 4.4569,                 4.4492,                 4.1458,              0.0010092,              0.0010092,              0.0010092
                    100,                 2.4311,                 1.8898,                 2.2433,                0.00177,                0.06667,                0.00094,                0.00019,                 4.4011,                 4.3772,                 4.1032,              0.0010097,              0.0010097,              0.0010097
                    101,                 2.4058,                 1.9599,                  2.261,                0.00178,                0.06667,                0.00095,                0.00019,                 4.2905,                 4.2221,                 4.0041,                0.00101,                0.00101,                0.00101
                    102,                 2.3704,                 1.9202,                 2.2067,                0.00698,                0.26667,                0.00864,                0.00124,                 4.0207,                 4.0878,                 3.7516,              0.0010001,              0.0010001,              0.0010001
                    103,                 2.3954,                 1.9091,                 2.2889,                0.00678,                0.26667,                0.19798,                0.05091,                 3.9318,                 3.7532,                 3.5168,              0.0009902,              0.0009902,              0.0009902
                    104,                 2.3981,                 1.9421,                 2.2069,                0.00623,                0.26667,                0.16345,                0.04964,                 3.8096,                 3.4413,                 3.3399,              0.0009803,              0.0009803,              0.0009803
                    105,                 2.3094,                 1.8362,                 2.1762,                0.00561,                0.26667,                0.16331,                0.05552,                 3.7676,                  3.261,                 3.1464,              0.0009704,              0.0009704,              0.0009704
                    106,                 2.3651,                 1.8692,                 2.1734,                  0.009,                0.46667,                0.24062,                0.05759,                 3.5171,                 3.1162,                 2.9399,              0.0009605,              0.0009605,              0.0009605
