                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 3.2308,                 2.6141,                 3.2205,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5299,                 5.4778,                 4.2282,             0.00073797,             0.00073797,             0.00073797
                     45,                 3.2711,                 2.6216,                 3.1587,                 0.0006,                0.06667,                 0.0004,                0.00012,                 4.5282,                  5.505,                 4.2302,             0.00075222,             0.00075222,             0.00075222
                     46,                 3.1033,                 2.8007,                 3.2306,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5225,                 5.5059,                 4.2335,             0.00076635,             0.00076635,             0.00076635
                     47,                  3.128,                 2.5305,                 3.0867,                 0.0006,                0.06667,                 0.0004,                0.00012,                  4.527,                 5.4812,                 4.2363,             0.00078034,             0.00078034,             0.00078034
                     48,                 3.1324,                 2.6811,                 3.0865,                 0.0006,                0.06667,                 0.0004,                0.00012,                 4.5214,                 5.4176,                 4.2389,             0.00079421,             0.00079421,             0.00079421
                     49,                 3.0133,                 2.6059,                 3.0362,                 0.0006,                0.06667,                 0.0004,                0.00012,                 4.5159,                 4.5916,                  4.242,             0.00080794,             0.00080794,             0.00080794
                     50,                 2.9848,                 2.5288,                 2.9479,                 0.0006,                0.06667,                0.00044,                0.00013,                 4.5186,                  4.555,                  4.244,             0.00082153,             0.00082153,             0.00082153
                     51,                  2.968,                 2.4719,                 2.9636,                 0.0006,                0.06667,                0.00042,                0.00013,                 4.5037,                 4.6394,                 4.2099,               0.000835,               0.000835,               0.000835
                     52,                 2.9377,                 2.5504,                 2.9834,                 0.0006,                0.06667,                0.00043,                  9e-05,                 4.4997,                 4.6753,                 4.2128,             0.00084833,             0.00084833,             0.00084833
                     53,                 3.2288,                 2.3723,                 2.8873,                 0.0006,                0.06667,                 0.0004,                  8e-05,                 4.4958,                 4.6835,                 4.2149,             0.00086154,             0.00086154,             0.00086154
